,p1,p2,rg,se,z,p,significant
I9_ISCHHEART,GD,Ischemic heart diseases,0.432256,0.124178,3.4809386525793617,0.000499659918988037,
I9_ISCHHEART,HP,Ischemic heart diseases,0.483017,0.119454,4.043539772632142,5.265021997811036e-05,*
I9_ISCHHEART,EV,Ischemic heart diseases,0.569502,0.383617,1.484558817779191,0.1376607314519318,
I9_ISCHHEART,GH,Ischemic heart diseases,0.423882,0.120809,3.5086955442061436,0.000450310067875357,
I9_MI,GD,Myocardial infarction,0.396914,0.157987,2.512320633976213,0.011994005909805292,
I9_MI,HP,Myocardial infarction,0.537264,0.111855,4.803218452460775,1.5613537892641624e-06,*
I9_MI,EV,Myocardial infarction,0.293303,0.293380,0.9997375417547208,0.3174375389544377,
I9_MI,GH,Myocardial infarction,0.448597,0.114129,3.930613603904354,8.472934697629846e-05,
I9_OTHHEART,GD,I9_OTHHEART: Other heart diseases,0.280213,0.160263,1.7484572234389721,0.08038488656503429,
I9_OTHHEART,HP,I9_OTHHEART: Other heart diseases,0.534981,0.106168,5.039004219727225,4.679601688654701e-07,*
I9_OTHHEART,EV,I9_OTHHEART: Other heart diseases,0.510955,0.382234,1.3367596812423803,0.18130109385916082,
I9_OTHHEART,GH,I9_OTHHEART: Other heart diseases,0.331432,0.103161,3.212764513721271,0.0013146403004463975,
I9_PAD,GD,Peripheral artery disease,0.613343,0.151585,4.046198502490352,5.205609537227109e-05,*
I9_PAD,HP,Peripheral artery disease,0.407134,0.099879,4.076272289470259,4.576342727964065e-05,*
I9_PAD,EV,Peripheral artery disease,0.141198,0.357848,0.3945753504281147,0.6931563080148117,
I9_PAD,GH,Peripheral artery disease,0.262242,0.103068,2.5443590639189657,0.010947848147222697,
I9_STR_EXH,GD,"Ischaemic Stroke, excluding all haemorrhages",0.277449,0.181332,1.5300608828006088,0.12600165957936268,
I9_STR_EXH,HP,"Ischaemic Stroke, excluding all haemorrhages",0.638190,0.132898,4.802103869132719,1.5700720858487097e-06,*
I9_STR_EXH,EV,"Ischaemic Stroke, excluding all haemorrhages",0.565921,0.463341,1.221392020132041,0.22193762711194231,
I9_STR_EXH,GH,"Ischaemic Stroke, excluding all haemorrhages",0.359127,0.160746,2.2341271322459035,0.025474709230662383,
I9_UAP,GD,Unstable angina pectoris,0.427944,0.137618,3.1096513537473296,0.001873082922193879,
I9_UAP,HP,Unstable angina pectoris,0.547496,0.136164,4.020857201609823,5.79867493741115e-05,*
I9_UAP,EV,Unstable angina pectoris,0.569525,0.421768,1.3503276682915726,0.17691090105825058,
I9_UAP,GH,Unstable angina pectoris,0.401811,0.136968,2.933612230594007,0.003350425007436512,
K11_GIDISEASES,GD,Gastrointestinal diseases,0.505864,0.123057,4.11081043743956,3.942727973080528e-05,*
K11_GIDISEASES,HP,Gastrointestinal diseases,0.108135,0.111938,0.9660258357304936,0.33403125327952854,
K11_GIDISEASES,EV,Gastrointestinal diseases,0.637483,0.391214,1.6294994555409572,0.10320733004590875,
K11_GIDISEASES,GH,Gastrointestinal diseases,0.020402,0.110098,0.18530763501607658,0.8529877498649305,
K11_HERING,GD,Inguinal hernia,-0.013831,0.100839,-0.13715923402651753,0.8909049328406523,
K11_HERING,HP,Inguinal hernia,-0.379706,0.081074,-4.683449687939413,2.820867171517718e-06,*
K11_HERING,EV,Inguinal hernia,0.304670,0.281198,1.0834714329404902,0.2785992240920282,
K11_HERING,GH,Inguinal hernia,-0.305048,0.088204,-3.4584372590812205,0.0005433188022006616,
M13_MUSCULOSKELETAL,GD,Diseases of the musculoskeletal system and connective tissue,0.405145,0.121316,3.3395842263180455,0.0008390390351343781,
M13_MUSCULOSKELETAL,HP,Diseases of the musculoskeletal system and connective tissue,0.353426,0.077745,4.545964370699081,5.468428712117849e-06,*
M13_MUSCULOSKELETAL,EV,Diseases of the musculoskeletal system and connective tissue,0.965482,0.536354,1.800083526924382,0.07184745028948004,
M13_MUSCULOSKELETAL,GH,Diseases of the musculoskeletal system and connective tissue,0.275711,0.085911,3.2092630745771786,0.0013307567096384504,
M13_POLYARTHROPATHIES,GD,Polyarthropathies,0.462742,0.103302,4.479506689125089,7.481574573272035e-06,*
M13_POLYARTHROPATHIES,HP,Polyarthropathies,0.286468,0.077966,3.6742682707847014,0.00023853201306673095,
M13_POLYARTHROPATHIES,EV,Polyarthropathies,0.729599,0.503032,1.4504027576774439,0.14694623854919026,
M13_POLYARTHROPATHIES,GH,Polyarthropathies,0.221995,0.089480,2.480945462673223,0.013103441981410459,
M13_SHOULDER,GD,Shoulder lesions,0.600308,0.110427,5.436242947829788,5.441574764617229e-08,*
M13_SHOULDER,HP,Shoulder lesions,0.266917,0.111481,2.3942824337779536,0.01665291993933163,
M13_SHOULDER,EV,Shoulder lesions,1.077159,0.577151,1.8663382719600243,0.061994053436168574,
M13_SHOULDER,GH,Shoulder lesions,0.225803,0.110223,2.0486014715621965,0.04050110063937353,
M13_SOFTTISSUE,GD,Soft tissue disorders,0.570639,0.107111,5.327548057622467,9.954744492453049e-08,*
M13_SOFTTISSUE,HP,Soft tissue disorders,0.345480,0.091548,3.7737580285751737,0.00016080673590689864,
M13_SOFTTISSUE,EV,Soft tissue disorders,1.271630,0.669700,1.8988054352695238,0.0575900623077844,
M13_SOFTTISSUE,GH,Soft tissue disorders,0.336769,0.097660,3.4483821421257423,0.0005639555287098817,
O15_EXIST_HYPERT_COMPLIC,GD,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",0.286695,0.206848,1.3860177521658414,0.1657414828935576,
O15_EXIST_HYPERT_COMPLIC,HP,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",0.855013,0.102920,8.307549553050913,9.76985884050666e-17,*
O15_EXIST_HYPERT_COMPLIC,EV,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",-0.122141,0.372819,-0.3276147406650412,0.7432029751049755,
O15_EXIST_HYPERT_COMPLIC,GH,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",0.802723,0.105389,7.616762660239683,2.601169799945873e-14,*
O15_GESTAT_HYPERT,GD,Gestational [pregnancy-induced] hypertension,0.290859,0.134381,2.1644354484636965,0.03043094572791202,
O15_GESTAT_HYPERT,HP,Gestational [pregnancy-induced] hypertension,1.018880,0.032024,31.81613789657757,3.8722079299213683e-222,*
O15_GESTAT_HYPERT,EV,Gestational [pregnancy-induced] hypertension,0.169398,0.338145,0.5009626047997161,0.6163974410970063,
O15_GESTAT_HYPERT,GH,Gestational [pregnancy-induced] hypertension,1.000008,0.000013,76923.69230769231,0.0,*
O15_HYPTENSPREG,GD,Pregnancy hypertension,0.339310,0.121079,2.8023852195673897,0.005072626329088551,
O15_HYPTENSPREG,HP,Pregnancy hypertension,1.000058,0.000052,19231.884615384613,0.0,*
O15_HYPTENSPREG,EV,Pregnancy hypertension,0.127947,0.309521,0.41337098290584484,0.6793348308600986,
O15_HYPTENSPREG,GH,Pregnancy hypertension,1.018880,0.032024,31.81613789657757,3.8722079299213683e-222,*
O15_OEDEM_PROTUR_HYPERT,GD,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",0.386428,0.126538,3.0538494365328988,0.0022592543708548135,
O15_OEDEM_PROTUR_HYPERT,HP,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",1.017878,0.012312,82.67365172189734,0.0,*
O15_OEDEM_PROTUR_HYPERT,EV,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",0.143216,0.288054,0.49718455567358905,0.6190589115015093,
O15_OEDEM_PROTUR_HYPERT,GH,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",1.018900,0.039728,25.646898912605717,4.578621556166798e-145,*
O15_PREG_DM,GD,Diabetes mellitus in pregnancy,0.973137,0.072966,13.336855521749856,1.4129480670845898e-40,*
O15_PREG_DM,HP,Diabetes mellitus in pregnancy,0.351225,0.146450,2.398258791396381,0.016473222084696343,
O15_PREG_DM,EV,Diabetes mellitus in pregnancy,0.668733,0.428218,1.5616648529487318,0.11836696278794959,
O15_PREG_DM,GH,Diabetes mellitus in pregnancy,0.299278,0.165277,1.81076616831138,0.07017705537370492,
O15_PREG_MATERN_CARE,GD,Maternal care for other conditions predominantly related to pregnancy,0.934823,0.160059,5.84049006928695,5.204748795939511e-09,*
O15_PREG_MATERN_CARE,HP,Maternal care for other conditions predominantly related to pregnancy,-0.125391,0.274661,-0.4565300497704443,0.6480088672196498,
O15_PREG_MATERN_CARE,EV,Maternal care for other conditions predominantly related to pregnancy,0.963514,0.699621,1.377194223729705,0.16845220723013588,
O15_PREG_MATERN_CARE,GH,Maternal care for other conditions predominantly related to pregnancy,-0.097986,0.272672,-0.3593548292453937,0.7193296619395984,
O15_PREG_OTHER_MAT_DISORD,GD,Other maternal disorders predominantly related to pregnancy,1.005677,0.070589,14.24693649152134,4.6838193316293695e-46,*
O15_PREG_OTHER_MAT_DISORD,HP,Other maternal disorders predominantly related to pregnancy,0.208323,0.112878,1.845558922022006,0.0649562756368914,
O15_PREG_OTHER_MAT_DISORD,EV,Other maternal disorders predominantly related to pregnancy,0.790288,0.421440,1.875208807896735,0.06076400291821159,
O15_PREG_OTHER_MAT_DISORD,GH,Other maternal disorders predominantly related to pregnancy,0.174033,0.119531,1.4559653980975646,0.14540218522123086,
O15_PRE_OR_ECLAMPSIA,GD,Pre-eclampsia or eclampsia,0.240517,0.162790,1.477467903433872,0.13955025584839667,
O15_PRE_OR_ECLAMPSIA,HP,Pre-eclampsia or eclampsia,1.000331,0.060636,16.49731182795699,3.835930199005764e-61,*
O15_PRE_OR_ECLAMPSIA,EV,Pre-eclampsia or eclampsia,0.211587,0.470394,0.44980803326573043,0.6528488649209993,
O15_PRE_OR_ECLAMPSIA,GH,Pre-eclampsia or eclampsia,0.987726,0.132211,7.4708307175651045,7.969011881255324e-14,*
R18_DIZZI_GIDDI,GD,Dizziness and giddiness,0.563695,0.292768,1.9253982675702261,0.0541795521725459,
R18_DIZZI_GIDDI,HP,Dizziness and giddiness,0.609766,0.175700,3.47049516220831,0.0005194997011847266,
R18_DIZZI_GIDDI,EV,Dizziness and giddiness,0.873137,0.591743,1.4755341423557187,0.14006899612456322,
R18_DIZZI_GIDDI,GH,Dizziness and giddiness,0.687925,0.166724,4.126130611069792,3.689177990882033e-05,*
R18_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS,GD,Symptoms and signs involving the circulatory and respiratory systems,0.568640,0.133631,4.255300042654773,2.0876886587479736e-05,*
R18_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS,HP,Symptoms and signs involving the circulatory and respiratory systems,0.301865,0.098061,3.0783389930757385,0.002081579779507424,
R18_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS,EV,Symptoms and signs involving the circulatory and respiratory systems,0.715299,0.468161,1.5278910460290371,0.12653959170040927,
R18_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS,GH,Symptoms and signs involving the circulatory and respiratory systems,0.221240,0.104088,2.1255091845361616,0.0335441485154184,
